Timestamp,Pressure,Temperature,FlowRate,LeakStatus
2025-08-29T06:27:36,3.79,26.29,36.84,NoLeak
2025-08-29T06:27:37,0.93,23.91,38.21,NoLeak
2025-08-29T06:27:38,7.84,24.65,36.38,Leak
2025-08-29T06:27:39,4.08,29.05,33.51,NoLeak
2025-08-29T06:27:40,9.77,24.04,34.93,Leak
2025-08-29T06:27:41,1.6,29.3,38.42,NoLeak
2025-08-29T06:27:42,5.47,28.31,35.95,NoLeak
2025-08-29T06:27:43,5.54,22.48,31.76,NoLeak
2025-08-29T06:27:44,5.8,28.95,39.25,NoLeak
2025-08-29T06:27:45,9.69,21.14,34.06,Leak
2025-08-29T06:27:46,6.23,23.72,37.51,NoLeak
2025-08-29T13:19:10,0.9,28.19,39.93,NoLeak
2025-08-29T13:19:11,6.53,21.05,36.12,NoLeak
2025-08-29T13:19:12,0.16,27.32,34.36,NoLeak
2025-08-29T13:19:13,4.18,23.03,38.04,NoLeak
2025-08-29T13:19:14,9.71,26.57,38.07,Leak
2025-08-29T13:19:15,5.7,29.41,34.64,NoLeak
2025-08-29T13:19:16,1.97,20.45,31.68,NoLeak
2025-08-29T13:19:17,4.64,26.52,39.86,NoLeak
2025-08-29T13:19:18,4.82,29.55,30.78,NoLeak
2025-08-29T13:19:19,7.24,28.46,38.42,Leak
2025-08-29T13:19:20,2.68,29.51,39.12,NoLeak
2025-08-29T13:19:21,7.3,23.6,32.21,Leak
2025-08-29T13:19:22,5.53,27.05,32.15,NoLeak
2025-08-29T13:19:23,8.56,22.72,30.79,Leak
2025-08-29T14:32:48,6.09,21.11,36.23,NoLeak
2025-08-29T14:32:49,3.64,25.77,39.54,NoLeak
2025-08-29T14:32:50,4.97,27.52,34.98,NoLeak
2025-08-29T14:32:51,5.98,22.49,30.51,NoLeak
2025-08-29T14:32:52,1.13,27.28,35.35,NoLeak
2025-08-29T14:32:53,1.39,23.03,33.28,NoLeak
2025-08-29T14:32:54,0.27,23.8,38.8,NoLeak
2025-08-29T14:32:55,8.08,22.25,39.05,Leak
2025-08-29T14:32:56,9.87,28.18,38.71,Leak
2025-08-29T14:32:57,9.77,21.79,30.5,Leak
2025-08-29T14:32:58,2.17,22.9,33.76,NoLeak
2025-08-29T14:32:59,9.82,25.24,35.41,Leak
2025-08-29T14:33:00,0.87,28.37,39.02,NoLeak
2025-08-29T14:33:01,7.33,20.21,36.8,Leak
2025-08-30T09:42:45,1.2,29.03,34.32,NoLeak
2025-08-30T09:42:46,2.48,29.95,31.46,NoLeak
2025-08-30T09:42:47,3.28,21.1,30.74,NoLeak
2025-08-30T09:42:48,1.77,23.65,39.92,NoLeak
2025-08-30T09:42:49,1,28.07,32.85,NoLeak
2025-08-30T09:42:50,9.87,28.74,35.46,Leak
2025-08-30T09:42:51,8.86,21.78,31.9,Leak
2025-08-30T09:42:52,5.54,20.25,32.67,NoLeak
2025-08-30T09:42:53,9.33,24.42,31.01,Leak
2025-08-30T09:42:54,3.83,24.35,38.2,NoLeak
2025-08-30T10:29:11,9.24,22.72,38.1,Leak
2025-08-30T10:29:12,5.75,20.92,31.43,NoLeak
2025-08-30T10:29:13,8.71,24.91,32.87,Leak
2025-08-30T10:29:14,3.25,23.66,35.98,NoLeak
2025-08-30T10:29:15,3.33,24.51,38.21,NoLeak
