Timestamp,Pressure,Temperature,FlowRate,LeakStatus
2025-09-12T06:42:00,5.51,22.3,33.42,NoLeak
2025-09-12T06:42:01,1.33,25.86,37.72,NoLeak
2025-09-12T06:42:02,1.53,23.05,39.19,NoLeak
2025-09-12T06:42:03,0.89,20.44,34.67,NoLeak
2025-09-12T06:42:04,6.53,27.1,35.34,NoLeak
2025-09-12T06:44:03,5.41,26.04,30.58,NoLeak
2025-09-12T06:44:04,9.26,29.26,31.29,Leak
2025-09-12T06:44:05,3.35,29.93,34.88,NoLeak
2025-09-12T06:44:06,0.99,27.64,35.46,NoLeak
2025-09-12T06:44:07,9.71,25.11,37.18,Leak
2025-09-12T06:44:08,6.37,27.6,38.3,NoLeak
2025-09-12T06:44:09,3.13,29.78,36.46,NoLeak
2025-09-12T06:44:10,3.05,29.48,30.03,NoLeak
2025-09-12T06:44:11,8.45,21.1,39.12,Leak
2025-09-12T06:44:12,2.51,27.86,35.56,NoLeak
2025-09-12T06:44:13,3.45,29.65,36,NoLeak
